

"Alarm Records -- Current Alarms"
"Save Time: 2026-03-09 12:15:02"
"Username: fraser.msusa"
"Maintenance Status is in NORMAL.
Alarm source = LMB_UGW,cgw@LLG_vCGW01,cgw@LMB_vCGW01,csdb@LLG_vCGW01,csdb@LMB_vCGW01..."

" ","Severity","Alarm ID","Name","NE Type","Alarm Source","MO Name","Location Information","Occurrence Times","First Occurred (NT)","Last Occurred (NT)","Cleared On (NT)","Acknowledged On (ST)","Cleared By","Acknowledged By","Clearance Status","RRU Name","CELL Name","Acknowledgement Status","BBU Name","eNodeB ID","gNodeB ID","Log Serial Number","User Label","Equipment Alarm Serial Number","Additional Information","Maintenance Status","Subnet"
"		-","Major","238493706","Master Key Expired","vUGW","LMB_vCGW01","csdb","		-","1","2025-04-29 01:41:22","2025-04-29 01:41:22","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","524854616","		-","1906","Valid Begin Time=2022-04-30 01:41:14, Valid End Time=2025-04-29 01:41:14","NORMAL","ROOT"
"		-","Major","238493706","Master Key Expired","vUGW","LMB_vCGW01","vnrs","		-","1","2025-04-29 01:41:22","2025-04-29 01:41:22","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","524854613","		-","7873","Valid Begin Time=2022-04-30 01:41:20, Valid End Time=2025-04-29 01:41:20","NORMAL","ROOT"
"		-","Major","238493706","Master Key Expired","vUGW","LMB_vCGW01","cslb","		-","1","2025-04-29 01:41:15","2025-04-29 01:41:15","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","524854609","		-","807","Valid Begin Time=2022-04-30 01:41:06, Valid End Time=2025-04-29 01:41:06","NORMAL","ROOT"
"		-","Major","238493706","Master Key Expired","vUGW","LMB_vCGW01","cgw","		-","1","2025-04-29 01:41:13","2025-04-29 01:41:13","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","524854589","		-","5190","validBeginTime=2022-04-30 01:41:03, validEndTime=2025-04-29 01:41:03","NORMAL","ROOT"
"		-","Major","238493706","Master Key Expired","vUGW","LMB_vCGW01","VNFP","		-","1","2025-04-29 01:39:44","2025-04-29 01:39:44","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","524854508","		-","2739","Valid Begin Time=2022-04-30 01:39:41, Valid End Time=2025-04-29 01:39:41","NORMAL","ROOT"
"		-","Minor","136781867","User Password Not Changed for a Long Time","vUGW","LLG_vCGW01","VNFP","User Name=omuser","1","2025-04-05 20:32:33","2025-04-05 20:32:33","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","520280350","		-","3039","Password Configured Days=365","NORMAL","ROOT"
"		-","Minor","136781867","User Password Not Changed for a Long Time","vUGW","LMB_vCGW01","VNFP","User Name=omuser","1","2025-04-05 20:15:14","2025-04-05 20:15:14","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","520276681","		-","2707","Password Configured Days=365","NORMAL","ROOT"
"		-","Minor","136781867","User Password Not Changed for a Long Time","vUGW","LLG_vCGW01","VNFP","User Name=admin","1","2024-07-12 16:50:44","2024-07-12 16:50:44","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","478562699","		-","1991","Password Configured Days=365","NORMAL","ROOT"
"		-","Minor","136781867","User Password Not Changed for a Long Time","vUGW","LMB_vCGW01","VNFP","User Name=admin","1","2024-07-12 16:39:50","2024-07-12 16:39:50","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","478562270","		-","1755","Password Configured Days=365","NORMAL","ROOT"
"		-","Minor","136781867","User Password Not Changed for a Long Time","vUGW","LLG_vCGW01","VNFP","User Name=ftpuser","1","2023-12-08 01:39:13","2023-12-08 01:39:13","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","452417003","		-","1366","Password Configured Days=365","NORMAL","ROOT"
"		-","Minor","81059","Cached CDRs Expired","vUGW","LLG_vCGW01","cgw","RU name=CGW_SP_RU_0066","1","2023-11-17 01:34:54","2023-11-17 01:34:54","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","449901128","		-","2883","		-","NORMAL","ROOT"
"		-","Minor","81059","Cached CDRs Expired","vUGW","LLG_vCGW01","cgw","RU name=CGW_SP_RU_0067","1","2023-11-17 00:47:34","2023-11-17 00:47:34","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","449898086","		-","2882","		-","NORMAL","ROOT"
"		-","Major","81025","There are CDRs in hard disk","vUGW","LLG_vCGW01","cgw","RU name=CGW_SP_RU_0066","1","2023-10-19 01:37:41","2023-10-19 01:37:41","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","446210950","		-","2805","		-","NORMAL","ROOT"
"		-","Major","81025","There are CDRs in hard disk","vUGW","LLG_vCGW01","cgw","RU name=CGW_SP_RU_0067","1","2023-10-18 00:48:07","2023-10-18 00:48:07","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","446041435","		-","2772","		-","NORMAL","ROOT"
"		-","Minor","81059","Cached CDRs Expired","vUGW","LLG_vCGW01","cgw","RU name=CGW_SP_RU_0064","1","2021-12-30 04:04:17","2021-12-30 04:04:17","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","440948503","		-","2644","		-","NORMAL","ROOT"
"		-","Major","81025","There are CDRs in hard disk","vUGW","LLG_vCGW01","cgw","RU name=CGW_SP_RU_0064","1","2021-12-03 04:06:43","2021-12-03 04:06:43","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","440948502","		-","2643","		-","NORMAL","ROOT"
"		-","Minor","81059","Cached CDRs Expired","vUGW","LLG_vCGW01","cgw","RU name=CGW_SP_RU_0065","1","2021-12-30 04:08:31","2021-12-30 04:08:31","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","440948494","		-","2641","		-","NORMAL","ROOT"
"		-","Major","81025","There are CDRs in hard disk","vUGW","LLG_vCGW01","cgw","RU name=CGW_SP_RU_0065","1","2021-12-03 04:10:50","2021-12-03 04:10:50","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","440948495","		-","2642","		-","NORMAL","ROOT"
"		-","Minor","136781867","User Password Not Changed for a Long Time","vUGW","LMB_vCGW01","VNFP","User Name=b_chilungo","1","2023-07-11 13:03:29","2023-07-11 13:03:29","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","434672466","		-","802","Password Configured Days=365","NORMAL","ROOT"
"		-","Warning","81223","Service unit is locked","vUGW","LLG_vCGW01","cgw","Service Unit Type=APN, Service Unit Info=ApnName 5g-prepaid-ll","1","2023-05-16 21:58:13","2023-05-16 21:58:13","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","428825567","		-","2162","		-","NORMAL","ROOT"
"		-","Warning","81223","Service unit is locked","vUGW","LLG_vCGW01","cgw","Service Unit Type=APN, Service Unit Info=ApnName 5g-postpaid-ll","1","2023-05-13 01:05:38","2023-05-13 01:05:38","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","428434285","		-","2144","		-","NORMAL","ROOT"
"		-","Warning","81223","Service unit is locked","vUGW","LMB_vCGW01","cgw","Service Unit Type=APN, Service Unit Info=ApnName 5g-prepaid-bt","1","2023-05-13 00:53:58","2023-05-13 00:53:58","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","428433406","		-","2014","		-","NORMAL","ROOT"
"		-","Warning","81223","Service unit is locked","vUGW","LMB_vCGW01","cgw","Service Unit Type=APN, Service Unit Info=ApnName 5g-postpaid-bt","1","2023-05-13 00:53:29","2023-05-13 00:53:29","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","428433376","		-","2013","		-","NORMAL","ROOT"
"		-","Minor","136781867","User Password Not Changed for a Long Time","vUGW","LMB_vCGW01","VNFP","User Name=nerestuser","1","2023-04-30 01:42:25","2023-04-30 01:42:25","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","426796975","		-","622","Password Configured Days=365","NORMAL","ROOT"
"		-","Minor","136781867","User Password Not Changed for a Long Time","vUGW","LMB_vCGW01","VNFP","User Name=fmacomm","1","2023-04-30 01:42:25","2023-04-30 01:42:25","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","426796974","		-","621","Password Configured Days=365","NORMAL","ROOT"
"		-","Minor","136781867","User Password Not Changed for a Long Time","vUGW","LMB_vCGW01","VNFP","User Name=emscomm","1","2023-04-30 01:42:25","2023-04-30 01:42:25","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","426796973","		-","620","Password Configured Days=365","NORMAL","ROOT"
"		-","Major","822","IP spoofing has arisen","UGW","LMB_UGW","LMB_UGW","Slot No.=8, CPU No.=4","1","2022-12-14 10:45:17","2022-12-14 10:45:17","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","406426379","		-","38114","		-","NORMAL","ROOT"
"		-","Major","822","IP spoofing has arisen","UGW","LMB_UGW","LMB_UGW","Slot No.=8, CPU No.=1","1","2022-12-14 08:35:10","2022-12-14 08:35:10","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","406413531","		-","38112","		-","NORMAL","ROOT"
"		-","Major","822","IP spoofing has arisen","UGW","LMB_UGW","LMB_UGW","Slot No.=8, CPU No.=2","1","2022-12-14 08:08:04","2022-12-14 08:08:04","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","406410445","		-","38111","		-","NORMAL","ROOT"
"		-","Major","822","IP spoofing has arisen","UGW","LMB_UGW","LMB_UGW","Slot No.=8, CPU No.=3","1","2022-12-14 07:10:44","2022-12-14 07:10:44","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","406405603","		-","38110","		-","NORMAL","ROOT"
"		-","Minor","136781867","User Password Not Changed for a Long Time","vUGW","LLG_vCGW01","VNFP","User Name=nerestuser","1","2022-11-11 02:59:19","2022-11-11 02:59:19","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","401030745","		-","374","Password Configured Days=365","NORMAL","ROOT"
"		-","Minor","136781867","User Password Not Changed for a Long Time","vUGW","LLG_vCGW01","VNFP","User Name=fmacomm","1","2022-11-11 02:59:19","2022-11-11 02:59:19","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","401030744","		-","373","Password Configured Days=365","NORMAL","ROOT"
"		-","Minor","136781867","User Password Not Changed for a Long Time","vUGW","LLG_vCGW01","VNFP","User Name=emscomm","1","2022-11-11 02:59:19","2022-11-11 02:59:19","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","401030743","		-","372","Password Configured Days=365","NORMAL","ROOT"
"		-","Minor","136781876","Security Risk Alarm","vUGW","LMB_vCGW01","omo","Feature Name=SSHC, Risk Information=Insecure key exchange algorithm is enabled in SSH client","1","2022-06-21 13:21:00","2022-06-21 13:21:00","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","380355118","		-","14","		-","NORMAL","ROOT"
"		-","Major","822","IP spoofing has arisen","UGW","LMB_UGW","LMB_UGW","Slot No.=14, CPU No.=2","1","2022-03-15 09:26:21","2022-03-15 09:26:21","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","366983976","		-","502","		-","NORMAL","ROOT"
"		-","Major","822","IP spoofing has arisen","UGW","LMB_UGW","LMB_UGW","Slot No.=14, CPU No.=1","1","2022-03-15 09:25:37","2022-03-15 09:25:37","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","366983933","		-","501","		-","NORMAL","ROOT"
"		-","Major","822","IP spoofing has arisen","UGW","LMB_UGW","LMB_UGW","Slot No.=16, CPU No.=1","1","2022-03-15 09:23:22","2022-03-15 09:23:22","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","366983787","		-","500","		-","NORMAL","ROOT"
"		-","Major","822","IP spoofing has arisen","UGW","LMB_UGW","LMB_UGW","Slot No.=16, CPU No.=2","1","2022-03-15 09:21:27","2022-03-15 09:21:27","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","366983662","		-","499","		-","NORMAL","ROOT"
"		-","Major","822","IP spoofing has arisen","UGW","LMB_UGW","LMB_UGW","Slot No.=15, CPU No.=2","1","2022-02-28 12:03:26","2022-02-28 12:03:26","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","364742763","		-","129","		-","NORMAL","ROOT"
"		-","Major","822","IP spoofing has arisen","UGW","LMB_UGW","LMB_UGW","Slot No.=15, CPU No.=1","1","2022-02-28 11:56:06","2022-02-28 11:56:06","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","364742126","		-","128","		-","NORMAL","ROOT"
