

"Alarm Records -- Current Alarms"
"Save Time: 2026-03-09 12:19:52"
"Username: fraser.msusa"
"Maintenance Status is in NORMAL.
Alarm source = csdb@LLG_vDGW01,csdb@LMB_vDGW01,cslb@LLG_vDGW01,cslb@LMB_vDGW01,dgw@LLG_vDGW01..."

" ","Severity","Alarm ID","Name","NE Type","Alarm Source","MO Name","Location Information","Occurrence Times","First Occurred (NT)","Last Occurred (NT)","Cleared On (NT)","Acknowledged On (ST)","Cleared By","Acknowledged By","Clearance Status","RRU Name","CELL Name","Acknowledgement Status","BBU Name","eNodeB ID","gNodeB ID","Log Serial Number","User Label","Equipment Alarm Serial Number","Additional Information","Maintenance Status","Subnet"
"		-","Major","238493706","Master Key Expired","vUGW","LMB_vDGW01","VNFP","		-","1","2025-04-29 02:05:46","2025-04-29 02:05:46","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","524856249","		-","2844","Valid Begin Time=2022-04-30 02:05:46, Valid End Time=2025-04-29 02:05:46","NORMAL","ROOT"
"		-","Minor","136781867","User Password Not Changed for a Long Time","vUGW","LLG_vDGW01","VNFP","User Name=omuser","1","2025-04-04 11:44:37","2025-04-04 11:44:37","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","520075103","		-","5306","Password Configured Days=365","NORMAL","ROOT"
"		-","Minor","136781867","User Password Not Changed for a Long Time","vUGW","LMB_vDGW01","VNFP","User Name=omuser","1","2024-11-02 14:13:05","2024-11-02 14:13:05","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","492508900","		-","2427","Password Configured Days=365","NORMAL","ROOT"
"		-","Minor","136781867","User Password Not Changed for a Long Time","vUGW","LLG_vDGW01","VNFP","User Name=admin","1","2024-07-12 16:41:33","2024-07-12 16:41:33","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","478562324","		-","3355","Password Configured Days=365","NORMAL","ROOT"
"		-","Minor","136781867","User Password Not Changed for a Long Time","vUGW","LMB_vDGW01","VNFP","User Name=admin","1","2024-07-12 16:41:09","2024-07-12 16:41:09","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","478562302","		-","1764","Password Configured Days=365","NORMAL","ROOT"
"		-","Minor","136781867","User Password Not Changed for a Long Time","vUGW","LMB_vDGW01","VNFP","User Name=b_chilungo","1","2023-07-11 13:05:14","2023-07-11 13:05:14","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","434672549","		-","748","Password Configured Days=365","NORMAL","ROOT"
"		-","Minor","136781867","User Password Not Changed for a Long Time","vUGW","LMB_vDGW01","VNFP","User Name=nerestuser","1","2023-04-30 02:14:10","2023-04-30 02:14:10","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","426798658","		-","568","Password Configured Days=365","NORMAL","ROOT"
"		-","Minor","136781867","User Password Not Changed for a Long Time","vUGW","LMB_vDGW01","VNFP","User Name=fmacomm","1","2023-04-30 02:14:10","2023-04-30 02:14:10","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","426798657","		-","567","Password Configured Days=365","NORMAL","ROOT"
"		-","Minor","136781867","User Password Not Changed for a Long Time","vUGW","LMB_vDGW01","VNFP","User Name=emscomm","1","2023-04-30 02:14:10","2023-04-30 02:14:10","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","426798656","		-","566","Password Configured Days=365","NORMAL","ROOT"
"		-","Minor","136781867","User Password Not Changed for a Long Time","vUGW","LLG_vDGW01","VNFP","User Name=nerestuser","1","2022-11-11 03:39:35","2022-11-11 03:39:35","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","401034480","		-","1674","Password Configured Days=365","NORMAL","ROOT"
"		-","Minor","136781867","User Password Not Changed for a Long Time","vUGW","LLG_vDGW01","VNFP","User Name=fmacomm","1","2022-11-11 03:39:35","2022-11-11 03:39:35","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","401034479","		-","1673","Password Configured Days=365","NORMAL","ROOT"
"		-","Minor","136781867","User Password Not Changed for a Long Time","vUGW","LLG_vDGW01","VNFP","User Name=emscomm","1","2022-11-11 03:39:35","2022-11-11 03:39:35","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","401034478","		-","1672","Password Configured Days=365","NORMAL","ROOT"
